machine_id,shift,machine_age_years,maintenance_overdue_days,load_pct,rpm,temperature_c,vibration_mm_s,pressure_bar,sound_db,humidity_pct,failure_within_7_days
MCH-007,night,2.61,25.1,92.5,1193.0,66.8,0.58,6.36,81.1,43.1,0
MCH-030,day,2.59,15.6,63.4,1191.0,41.9,5.91,8.06,65.8,51.2,0
MCH-016,day,1.54,0.0,94.3,1443.0,71.6,4.95,8.08,75.7,57.5,0
MCH-026,day,1.62,28.0,63.0,1969.0,67.9,2.3,8.07,68.2,61.3,0
MCH-010,day,0.86,15.4,90.0,1646.0,66.3,2.57,8.55,84.3,95.0,0
MCH-024,day,3.73,42.6,55.0,1488.0,73.8,5.8,8.16,84.0,54.7,0
MCH-009,night,10.28,4.6,70.3,1861.0,56.8,5.91,9.24,81.7,31.1,0
MCH-003,night,6.95,16.8,71.5,1888.0,41.8,5.68,7.11,75.6,59.5,0
MCH-030,day,7.45,0.0,74.9,1488.0,74.1,5.47,7.47,66.3,72.3,0
MCH-012,day,10.76,3.7,92.6,1499.0,64.9,5.41,6.67,75.1,78.4,0
MCH-009,day,2.39,0.0,110.0,1143.0,77.1,3.0,6.33,80.4,34.7,0
MCH-026,night,3.4,15.8,43.2,1443.0,68.6,8.63,6.75,80.4,57.4,0
MCH-006,day,8.23,6.4,83.6,1225.0,81.8,6.73,8.81,71.0,59.2,0
MCH-006,night,10.37,31.8,55.5,1259.0,76.9,5.29,6.06,75.8,55.7,0
MCH-007,night,2.08,6.3,67.2,1678.0,55.7,4.61,8.7,65.1,61.0,0
MCH-009,day,8.55,29.7,73.6,1480.0,77.2,3.79,7.85,86.8,28.4,0
MCH-025,night,0.56,20.6,53.7,1744.0,81.3,5.52,5.76,72.0,39.9,0
MCH-007,night,4.04,37.0,81.5,2307.0,54.8,5.5,7.41,78.5,72.6,0
MCH-027,night,6.28,14.0,110.0,1625.0,59.4,2.27,7.63,76.2,69.4,0
MCH-003,night,1.37,16.9,57.8,1283.0,66.9,1.05,5.26,65.0,39.6,0
MCH-027,day,4.21,24.7,98.7,1263.0,51.1,5.38,5.13,68.5,65.9,0
MCH-014,night,4.39,7.7,60.4,1384.0,63.1,4.35,10.01,63.1,69.0,0
MCH-022,day,0.95,23.3,43.8,1721.0,62.9,6.38,6.8,75.0,37.3,0
MCH-016,night,6.44,24.3,87.7,1274.0,63.6,1.2,6.0,91.3,52.7,0
MCH-002,day,1.58,22.1,105.7,1229.0,87.2,2.07,7.3,75.3,45.0,0
MCH-004,day,5.49,27.0,96.5,1050.0,63.6,4.44,8.87,66.5,76.6,0
MCH-005,night,7.58,23.2,85.9,1620.0,78.3,2.34,7.27,81.8,65.5,0
MCH-008,night,2.75,24.7,64.7,1508.0,76.8,3.36,6.19,75.2,73.2,0
