feature,importance
num__load_pct,0.1468624028113487
num__humidity_pct,0.12097190346698203
num__maintenance_overdue_days,0.11436501971357035
num__temperature_c,0.10709112364339653
num__rpm,0.06942383952231046
cat__shift_day,0.0683791017137993
num__pressure_bar,0.06604075681583206
num__machine_age_years,0.062871295386176
cat__shift_night,0.05932135877174615
num__vibration_mm_s,0.05852928923821719
num__sound_db,0.05824185680232133
cat__machine_id_MCH-009,0.011454363949717801
cat__machine_id_MCH-015,0.005365869186996742
cat__machine_id_MCH-008,0.004760098518127815
cat__machine_id_MCH-016,0.004698815099258472
cat__machine_id_MCH-022,0.004605736734500288
cat__machine_id_MCH-012,0.004375750320984137
cat__machine_id_MCH-030,0.004312384892635496
cat__machine_id_MCH-020,0.0028037505969885556
cat__machine_id_MCH-026,0.002111962974484953
cat__machine_id_MCH-002,0.0020128844229549206
cat__machine_id_MCH-011,0.001986983080534443
cat__machine_id_MCH-006,0.0019786339329779723
cat__machine_id_MCH-004,0.0019429811035397181
cat__machine_id_MCH-007,0.001932741034217554
cat__machine_id_MCH-017,0.0018157202832931364
cat__machine_id_MCH-021,0.0015319802981728198
cat__machine_id_MCH-028,0.0014312110655976935
cat__machine_id_MCH-013,0.001121096279188649
cat__machine_id_MCH-010,0.0010861203004299597
cat__machine_id_MCH-024,0.0010761140168936765
cat__machine_id_MCH-018,0.0010257257695256202
cat__machine_id_MCH-025,0.0008052285858642634
cat__machine_id_MCH-027,0.000708396200133651
cat__machine_id_MCH-003,0.000690131153442645
cat__machine_id_MCH-023,0.0005286008129309093
cat__machine_id_MCH-029,0.0004680715877564298
cat__machine_id_MCH-014,0.000438723017722097
cat__machine_id_MCH-019,0.00040727072736784504
cat__machine_id_MCH-005,0.00039297730315701905
cat__machine_id_MCH-001,3.1728864904713575e-05
